id,county,state,concat,Estimate!!Total!!Total population,Estimate!!Male!!Total population,Estimate!!Female!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US12095,Orange,Florida,OrangeFlorida,1380645,677889,702756,83836,82609,88241,94389,101479,123872,109478,102608,94504,92475,87509,79390,75371,58036,42060,27215,18729,18844
0500000US12109,St. Johns,Florida,St. JohnsFlorida,254261,124435,129826,11639,14816,18574,19259,11102,9557,12130,13837,18594,18312,18490,18186,18025,16557,15031,9776,5802,4574
0500000US12021,Collier,Florida,CollierFlorida,378488,185300,193188,16313,15539,21055,20046,16835,17653,18133,18334,18125,20721,22373,24114,26784,30790,29421,26458,17526,18268
0500000US12086,Miami-Dade,Florida,Miami-DadeFlorida,2761581,1339698,1421883,159349,147193,158500,157396,168017,198085,196353,189611,189634,202363,202663,185134,159315,132569,107581,78295,60590,68933
0500000US12111,St. Lucie,Florida,St. LucieFlorida,321128,155903,165225,15994,17485,18644,16562,18376,18209,17055,18277,19231,17941,20589,25087,20470,22659,20028,15282,11545,7694
0500000US12031,Duval,Florida,DuvalFlorida,950181,459916,490265,64460,60577,57397,53830,62471,82420,75293,63797,56252,58754,60084,65778,55469,47715,34170,22626,14954,14134
0500000US12001,Alachua,Florida,AlachuaFlorida,269956,131429,138527,13669,15311,12223,22665,38724,26284,17890,17364,13997,12912,11872,15551,13767,13844,8826,6974,3318,4765
0500000US12069,Lake,Florida,LakeFlorida,356495,171434,185061,16995,17791,21237,19561,16831,20228,18447,17207,20743,21913,21554,23140,25724,24879,26491,22044,12628,9082
0500000US12127,Volusia,Florida,VolusiaFlorida,547538,267254,280284,25808,24717,29431,29606,31560,33395,31259,29105,28277,32161,34547,42866,41062,42990,32151,22105,15498,21000
0500000US12071,Lee,Florida,LeeFlorida,754610,369892,384718,34466,35489,39073,39412,36618,42034,39633,39262,38155,43273,45278,53132,52525,59485,59155,42168,27760,27692
0500000US12105,Polk,Florida,PolkFlorida,708009,347083,360926,40829,41250,47464,44024,42694,47952,44399,43723,40254,42898,42414,44407,42275,40854,40292,30432,16855,14993
0500000US12011,Broward,Florida,BrowardFlorida,1951260,950854,1000406,112814,103428,125760,112149,113746,130485,131783,133600,127083,134353,140105,134723,126706,100463,80671,61632,41215,40544
0500000US12089,Nassau,Florida,NassauFlorida,85832,42698,43134,3833,4041,6258,4668,3182,4705,4724,4924,5572,5148,6334,7477,6179,5561,6010,3512,2545,1159
0500000US12019,Clay,Florida,ClayFlorida,216072,108064,108008,11561,14074,15912,14383,11622,13263,13320,15264,12520,15638,14855,15819,13089,13107,9501,6619,2949,2576
0500000US12055,Highlands,Florida,HighlandsFlorida,105424,50863,54561,4345,5675,4800,6262,4683,3587,5340,4130,5950,5117,4681,5648,7961,9691,7697,8134,5096,6627
0500000US12131,Walton,Florida,WaltonFlorida,71375,34634,36741,3360,4069,4490,3990,3919,3073,4179,3755,5381,4841,5021,5376,5404,5306,3864,3081,1764,502
0500000US12015,Charlotte,Florida,CharlotteFlorida,184998,90140,94858,6143,5872,6174,7101,6788,7207,6798,5093,7094,9139,11170,14541,17557,21446,17892,13351,10720,10912
0500000US12057,Hillsborough,Florida,HillsboroughFlorida,1436888,702808,734080,88861,87049,94239,90550,91735,112884,106746,105998,89589,97660,93364,90443,81962,69126,53549,34605,24284,24244
0500000US12009,Brevard,Florida,BrevardFlorida,596849,289611,307238,27832,26799,35203,33580,29728,34794,32907,33229,29126,34316,40093,47826,50148,44615,31680,26236,18110,20627
0500000US13013,Barrow,Georgia,BarrowGeorgia,80809,39917,40892,5177,5902,6164,5534,5039,5771,5486,5559,5243,5692,5776,5240,3983,3550,3107,1661,919,1006
0500000US13157,Jackson,Georgia,JacksonGeorgia,70422,34762,35660,4268,4690,4921,5587,3664,4050,5057,4613,4561,5654,5015,4363,3735,3391,2588,2168,896,1201
0500000US13245,Richmond,Georgia,RichmondGeorgia,201554,96104,105450,13080,12043,13174,14714,15988,18029,14966,12691,11438,11028,11186,10871,14198,9192,8165,4533,3481,2777
0500000US13285,Troup,Georgia,TroupGeorgia,70034,32962,37072,4402,3367,6284,5207,6264,3845,4509,5408,3736,3345,4862,4033,4707,3674,2335,2007,993,1056
0500000US13051,Chatham,Georgia,ChathamGeorgia,289195,139000,150195,17812,17142,16463,18873,23009,24707,21933,19168,16559,17085,16751,18915,16647,14341,12070,7626,5356,4738
0500000US13063,Clayton,Georgia,ClaytonGeorgia,289615,135117,154498,21868,25696,20328,21325,21180,23507,20542,20875,17794,19051,18495,17839,14235,11442,6678,5104,1967,1689
0500000US13113,Fayette,Georgia,FayetteGeorgia,113459,55380,58079,4782,6083,9748,9390,6541,4474,4244,5701,7969,7538,9293,9759,7653,5624,7061,4397,1175,2027
0500000US13223,Paulding,Georgia,PauldingGeorgia,164044,79993,84051,11062,10514,13800,12311,9997,10602,10178,12719,12587,12153,12140,11238,7872,6715,3787,3432,1632,1305
0500000US13059,Clarke,Georgia,ClarkeGeorgia,127330,61122,66208,6509,5814,5939,14484,23729,11067,8384,7850,7048,6566,4718,4588,5611,5105,4162,2500,1511,1745
0500000US13313,Whitfield,Georgia,WhitfieldGeorgia,104062,51621,52441,6819,7316,7417,9101,6314,7410,5523,6506,7514,6549,6987,6552,5466,4917,3897,2530,1600,1644
0500000US13097,Douglas,Georgia,DouglasGeorgia,145331,69386,75945,8863,9519,11950,11844,9274,9001,8228,9031,12217,10390,10807,9088,7833,5874,5272,3117,1493,1530
0500000US13135,Gwinnett,Georgia,GwinnettGeorgia,927781,452307,475474,61171,64499,77975,69599,60037,62266,60798,70086,63238,71208,65621,57931,49647,34112,26453,15582,8243,9315
0500000US13047,Catoosa,Georgia,CatoosaGeorgia,67420,33441,33979,3240,3325,4915,3757,5415,3430,4076,4069,4733,4703,4854,4544,4290,3859,3214,2133,2064,799
0500000US13247,Rockdale,Georgia,RockdaleGeorgia,90594,42762,47832,4854,7185,6364,6764,5208,6075,5806,5157,5444,5953,6507,6281,6190,4371,3677,2175,1495,1088
0500000US13297,Walton,Georgia,WaltonGeorgia,93503,44927,48576,6040,6045,7121,7394,4900,6002,5061,6584,5696,6201,6658,6996,4735,4097,4048,3144,1393,1388
0500000US13295,Walker,Georgia,WalkerGeorgia,69410,34967,34443,3992,4566,3762,4539,4247,4083,3844,4094,4240,4502,4573,5111,4764,4413,2912,3019,1522,1227
0500000US13073,Columbia,Georgia,ColumbiaGeorgia,154291,75105,79186,9637,10299,12729,11203,9254,8938,11319,11067,9218,10784,10458,9188,8868,7199,6935,2558,2462,2175
0500000US13095,Dougherty,Georgia,DoughertyGeorgia,91243,42037,49206,5817,6515,5579,8438,8326,6350,4577,6843,4289,4618,4979,5776,5237,4498,3783,1876,1755,1987
0500000US13151,Henry,Georgia,HenryGeorgia,230220,109288,120932,13198,17262,16884,16867,16684,15274,11306,15568,18604,17890,16911,14768,12748,10186,6613,3624,2384,3449
0500000US13153,Houston,Georgia,HoustonGeorgia,155469,77540,77929,9556,10569,12277,10106,8946,11336,11659,11331,9646,12543,9775,10612,8754,5649,5606,3277,1795,2032
