id,county,state,concatenate,Estimate!!Total!!White alone,Estimate!!Total!!Black or African American alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Asian alone,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Some other race alone
0500000US48187,Guadalupe,Texas,GuadalupeTexas,130959,15258,440,2842,9,9571
0500000US48183,Gregg,Texas,GreggTexas,93250,25568,275,1525,363,549
0500000US48347,Nacogdoches,Texas,NacogdochesTexas,49757,11019,498,1019,71,1670
0500000US48439,Tarrant,Texas,TarrantTexas,1364270,346559,15792,116257,3301,166276
0500000US48041,Brazos,Texas,BrazosTexas,178038,24515,248,14767,0,3564
0500000US48209,Hays,Texas,HaysTexas,196770,8461,688,3552,0,5723
0500000US48251,Johnson,Texas,JohnsonTexas,154440,6372,436,2039,0,4255
0500000US48037,Bowie,Texas,BowieTexas,64329,23985,1090,1323,0,2034
0500000US48139,Ellis,Texas,EllisTexas,146090,19602,2394,1198,46,3322
0500000US48291,Liberty,Texas,LibertyTexas,66810,9386,533,164,23,8752
